evaluations raw_y
1304 0.0000005447
1327 0.0000001730
1458 0.0000000464
1501 0.0000000308
1505 0.0000000262
1550 0.0000000232
1592 0.0000000156
1602 0.0000000138
1681 0.0000000122
1703 0.0000000083
1707 0.0000000080
1730 0.0000000026
1804 0.0000000024
1824 0.0000000011
1833 0.0000000007
1880 0.0000000005
2151 0.0000000003
2209 0.0000000002
2631 0.0000000001
8000 0.0000000001
evaluations raw_y
1 7.7317923637
2 0.1620836511
119 0.1436909787
126 0.0664054022
138 0.0254469212
218 0.0122198744
308 0.0109425259
322 0.0077998233
326 0.0055864601
374 0.0009381559
524 0.0005445502
601 0.0000773898
666 0.0000344750
796 0.0000194513
873 0.0000064857
897 0.0000050161
964 0.0000027676
1021 0.0000016457
1141 0.0000014735
1163 0.0000014034
1182 0.0000011483
1195 0.0000009277
1201 0.0000002481
1202 0.0000002427
1301 0.0000001347
1307 0.0000000418
1444 0.0000000110
1644 0.0000000051
1715 0.0000000044
1764 0.0000000041
1820 0.0000000025
1940 0.0000000018
1944 0.0000000014
2069 0.0000000008
2241 0.0000000007
2262 0.0000000004
2323 0.0000000003
2486 0.0000000002
2694 0.0000000000
8000 0.0000000000
evaluations raw_y
1 7.1002880862
3 4.4282415822
9 1.0196718946
41 0.4571157758
74 0.3432977472
139 0.1856853117
172 0.1337343428
180 0.1241629973
226 0.0650359318
285 0.0370009526
330 0.0352870927
332 0.0194097859
338 0.0111379036
417 0.0093699914
423 0.0082589947
433 0.0082558209
438 0.0047518401
449 0.0039347634
458 0.0016218765
473 0.0014355496
475 0.0011023481
484 0.0003544734
548 0.0002463323
596 0.0001781046
678 0.0001452092
686 0.0000837137
720 0.0000340428
726 0.0000310161
749 0.0000048785
852 0.0000025762
871 0.0000015765
923 0.0000015012
955 0.0000001163
1078 0.0000000938
1169 0.0000000788
1173 0.0000000431
1174 0.0000000179
1190 0.0000000124
1288 0.0000000077
1302 0.0000000040
1437 0.0000000020
1472 0.0000000009
1598 0.0000000007
1670 0.0000000004
1686 0.0000000003
1923 0.0000000001
2265 0.0000000000
8000 0.0000000000
evaluations raw_y
1 0.1010132320
4 0.0170900780
108 0.0129920976
146 0.0048222751
202 0.0043490003
272 0.0025368325
316 0.0012302124
357 0.0011468230
387 0.0010796116
397 0.0003222391
477 0.0000756265
563 0.0000494131
721 0.0000471531
756 0.0000305984
768 0.0000165802
784 0.0000120272
787 0.0000002385
937 0.0000002190
1042 0.0000001787
1085 0.0000001515
1130 0.0000000575
1143 0.0000000558
1151 0.0000000551
1172 0.0000000512
1210 0.0000000090
1296 0.0000000026
1423 0.0000000020
1508 0.0000000013
1519 0.0000000011
1587 0.0000000005
1619 0.0000000003
1733 0.0000000002
1793 0.0000000000
8000 0.0000000000
evaluations raw_y
1 4.1908178872
2 2.8477015999
4 0.3426471399
8 0.0594828745
9 0.0564611824
12 0.0000000001
8000 0.0000000000
evaluations raw_y
1 8.4965276624
2 0.0345102068
7 0.0092283595
152 0.0032940721
194 0.0027009316
255 0.0014692499
278 0.0012731067
319 0.0009718596
345 0.0003322922
426 0.0002497292
428 0.0002207040
437 0.0001808351
446 0.0000374674
526 0.0000361913
573 0.0000089468
674 0.0000066016
675 0.0000057775
679 0.0000012286
690 0.0000009821
730 0.0000008770
738 0.0000005436
796 0.0000004976
799 0.0000002911
822 0.0000002354
894 0.0000000485
